"Country","Paese"
"Yes","Sì"
"No","No"
"Edit","Modifica"
"Braintree","Braintree"
"&nbsp;","&nbsp;"
"Enable this Solution","Abilita questa soluzione"
"Enable PayPal through Braintree","Abilita PayPal attraverso Braintree"
"Basic Braintree Settings","Impostazioni di base Braintree"
"Title","Titolo"
"Environment","Ambiente"
"Payment Action","Azione di pagamento"
"Merchant Account ID","ID Account Venditore"
"Merchant ID","ID Venditore"
"Public Key","Chiave pubblica"
"Private Key","Chiave privata"
"Advanced Braintree Settings","Impostazioni avanzate Braintree"
"Debug","Debug"
"Capture action","Azione acquisizione"
"New Order Status","Nuovo status ordine"
"Use Vault","Usa Vault"
"Allow Duplicate Cards","Consenti carte duplicate"
"CVV Verification","Verifica CVV"
"Credit Card Types","Tipi di carta di credito"
"Enable Credit Card auto-detection on Storefront","Abilitare il rilevamento automatico carta di credito sul frontend"
"Advanced Fraud Protection","Protezione avanzata anti-frode"
"Your Kount ID","Il tuo ID Kount"
"Use Cache","Utilizza la Cache"
"Sort Order","Ordinamento"
"Country Specific Settings","Impostazioni specifiche paese"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Country Specific Credit Card Types","Tipi di carta di credito specifiche per paese"
"PayPal through Braintree","PayPal attraverso Braintree"
"Override Merchant Name","Sovrascrivi nome venditore"
"Display on Shopping Cart","Mostra nel carrello"
"Require Customer's Billing Address","Richiede l'indirizzo di fatturazione del cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Consente di modificare l'indirizzo di spedizione inserito durante il checkout lato PayPal"
"3D Secure Verification Settings","Impostazioni di verifica 3D Secure"
"3D Secure Verification","Verifica 3D Secure"
"Edit My Credit Cards","Modifica le mie carte di credito"
